Added_Sugars,Alcohol,Calories,Display_Name,Drkgreen_Vegetables,Drybeans_Peas,Factor,Food_Code,Fruits,Grains,Increment,Meats,Milk,Multiplier,Oils,Orange_Vegetables,Other_Vegetables,Portion_Amount,Portion_Default,Portion_Display_Name,Saturated_Fats,Solid_Fats,Soy,Starchy_vegetables,Vegetables,Whole_Grains
1.57001,0,133.65,Sour cream dip,0,0,0.25,12350000,0,0.04799,0.25,0,0,1,0,0,0.0407,0.25,1,cup,7.36898,105.6485,0,0,0.0407,0
95.20488,0,267.33,"Ice cream, regular",0,0,1,13110100,0,0,0.25,0,0.29393,0.25,0,0,0,1,1,cup,9.0307,130.99968,0,0,0,0
96.1034,0,368.52,"Ice cream, rich",0,0,1,13110120,0,0,0.25,0.0962,0.2516,0.25,0,0,0,1,1,cup,15.2884,213.06672,0,0,0,0
123.83793,0,347.73,Soft serve ice cream,0,0,1,13110200,0,0,0.25,0,0.38233,0.25,0,0,0,1,1,cup,11.7467,170.39808,0,0,0,0
45.54761,0,169.12,"Ice cream bar, chocolate covered",0,0,1,13120100,0,0,0.5,0,0.09744,0.5,0,0,0,1,1,bar (bar = 3 fl oz),9.5872,112.32144,0,0,0,0
74.82821,0,277.84,"Ice cream bar, chocolate covered",0,0,1,13120100,0,0,0.5,0,0.16008,0.5,0,0,0,1,2,Klondike Krispy bar,15.7504,184.52808,0,0,0,0
48.40002,0,143.37,Ice cream sandwich,0,0,1,13120500,0,0.53454,0.5,0,0.09912,0.5,0,0,0,1,1,sandwich,3.2332,49.46265,0,0,0,0
70.88353,0,216.15,Light ice cream,0,0,1,13130300,0,0,0.25,0,0.7598,0.25,0,0,0,1,1,cup,3.3929,45.60372,0,0,0,0
0,0,220.5,Light soft serve ice cream,0,0,1,13130600,0,0,0.25,0,0.7175,0.25,0,0,0,1,1,cup,2.8525,39.6585,0,0,0,0
41.22339,0,129.6,Light ice cream sandwich,0,0,1,13135000,0,0.5436,0.5,0,0.2652,0.5,0,0,0,1,1,sandwich,1.368,21.2112,0,0,0,0
37.81981,0,153.44,Light ice cream bar,0,0,1,13140100,0,0,0.5,0,0.25648,0.5,0,0,0,1,1,bar (bar = 3 fl oz),7.728,84.15288,0,0,0,0
37.92188,0,121.91,Light fudgesicle,0,0,1,13140900,0,0,0.5,0,0.40661,0.5,0,0,0,1,1,sicle (sicle = 2.5 fl oz),2.0367,27.86337,0,0,0,0
151.04761,0,277.92,Sherbet,0,0,1,13150000,0.11387,0,0.25,0,0.21423,0.25,0.04932,0,0,1,1,cup,2.2388,18.20376,0,0,0,0
51.65359,0,95.04,Sherbet,0,0,1,13150000,0.03894,0,0.5,0,0.07326,0.5,0.01687,0,0,1,2,push up,0.7656,6.22512,0,0,0,0
73.98561,0,152.64,"Low fat, low sugar ice milk",0,0,1,13160150,0,0.04176,0.25,0.08928,0.43344,0.25,0.352,0,0,1,1,cup,0.8928,7.9704,0,0,0,0
