/Foods_Needing_Condiments_Row/cond_1_code,/Foods_Needing_Condiments_Row/cond_1_name,/Foods_Needing_Condiments_Row/cond_2_code,/Foods_Needing_Condiments_Row/cond_2_name,/Foods_Needing_Condiments_Row/cond_3_code,/Foods_Needing_Condiments_Row/cond_3_name,/Foods_Needing_Condiments_Row/cond_4_code,/Foods_Needing_Condiments_Row/cond_4_name,/Foods_Needing_Condiments_Row/cond_5_code,/Foods_Needing_Condiments_Row/cond_5_name,/Foods_Needing_Condiments_Row/display_name,/Foods_Needing_Condiments_Row/Survey_Food_Code
81101000,Butter,81102020,Tub margarine,81104010,Reduced calorie spread (margarine type),14301010,Cream cheese (regular),14303010,Low fat cream cheese,"100% Whole Wheat Bagel""",51208000
12310100,Sour cream,63409010,Guacamole,74402100,Salsa,,,,,Beef burrito (no beans):,58100100
12310100,Sour cream,63409010,Guacamole,74402100,Salsa,,,,,Chicken & cheese quesadilla:,58104740
74303000,Ketchup (catsup),74406010,Barbeque sauce,28500040,Beef gravy,74406100,Steak sauce (A-1),,,Ground beef (95% lean),23559
74303000,Ketchup (catsup),74406010,Barbeque sauce,28500040,Beef gravy,74406100,Steak sauce (A-1),,,Ground beef (90% lean),23564
74303000,Ketchup (catsup),74406100,Steak sauce (A-1),81101000,Butter,81102020,Tub margarine,28500040,Beef gravy,"Beef steak, grilled or broiled (eat lean & fat)",21101120
74303000,Ketchup (catsup),74406100,Steak sauce (A-1),81101000,Butter,81102020,Tub margarine,28500040,Beef gravy,"Beef steak, grilled or broiled (eat lean only)",21101130
74303000,Ketchup (catsup),74406100,Steak sauce (A-1),81101000,Butter,81102020,Tub margarine,28500040,Beef gravy,"Beef steak, fried (eat lean & fat)",21102120
74303000,Ketchup (catsup),74406100,Steak sauce (A-1),81101000,Butter,81102020,Tub margarine,28500040,Beef gravy,"Beef steak, fried (eat lean only)",21102130
74303000,Ketchup (catsup),74406100,Steak sauce (A-1),81101000,Butter,81102020,Tub margarine,28500040,Beef gravy,"Beef steak, breaded and fried (eat lean & fat)",21103120
74303000,Ketchup (catsup),74406100,Steak sauce (A-1),81101000,Butter,81102020,Tub margarine,28500040,Beef gravy,"Beef steak, breaded and fried (eat lean only)",21103130
81302060,Horseradish sauce,74303000,Ketchup (catsup),74406010,Barbeque sauce,28500040,Beef gravy,,,Roast beef (eat lean & fat),21401110
81302060,Horseradish sauce,74303000,Ketchup (catsup),74406010,Barbeque sauce,28500040,Beef gravy,,,Roast beef (eat lean only),21401120
74303000,Ketchup (catsup),74406010,Barbeque sauce,28500040,Beef gravy,74406100,Steak sauce (A-1),,,"Ground beef (75% lean, regular)",21501000
74303000,Ketchup (catsup),74406010,Barbeque sauce,28500040,Beef gravy,74406100,Steak sauce (A-1),,,Ground beef (80% lean),21501200
